date,pool_type,reserves_usd
2022-07-05,stable,3270196.8350826134
2022-07-12,stable,4625326.707743956
2022-07-19,stable,4659352.864700632
2022-07-26,stable,4977889.057887622
2022-08-02,stable,10620266.737763537
2022-08-09,stable,16747531.822084738
2022-08-16,stable,23030411.49459387
2022-08-23,stable,37362147.57487313
2022-08-30,stable,39310538.64117982
2022-09-06,non_stable,50841.77711604809
2022-09-06,stable,42108487.055870704
2022-09-13,non_stable,100973.59821752172
2022-09-13,stable,44684252.96894991
2022-09-20,non_stable,105956.04123508405
2022-09-20,stable,48852616.62160171
2022-09-27,non_stable,1568138.942557739
2022-09-27,stable,50987368.309623204
2022-10-04,non_stable,4353360.636545229
2022-10-04,stable,60146125.72416478
2022-10-11,non_stable,6997498.245738718
2022-10-11,stable,63340575.1734545
2022-10-18,non_stable,9154617.728099449
2022-10-18,stable,64671341.39532801
2022-10-25,non_stable,10677693.137380255
2022-10-25,stable,69067160.73884626
2022-11-01,non_stable,12243690.393841503
2022-11-01,stable,77223093.11204505
2022-11-08,non_stable,15463125.929864084
2022-11-08,stable,94012186.67991091
2022-11-15,non_stable,13646989.477664685
2022-11-15,stable,57197224.55756364
2022-11-22,non_stable,12930892.761036972
2022-11-22,stable,46642406.908557475
2022-11-29,non_stable,12582060.045516353
2022-11-29,stable,37711595.638138615
2022-12-06,non_stable,13115571.954515906
2022-12-06,stable,40998345.24407158
2022-12-13,non_stable,13409144.728167381
2022-12-13,stable,43679305.65253301
2022-12-20,non_stable,11843724.296039207
2022-12-20,stable,51270937.24794742
2022-12-27,non_stable,11108562.54417718
2022-12-27,stable,49337269.47717518
2023-01-03,non_stable,10189690.759996412
2023-01-03,stable,47842580.71683036
2023-01-10,non_stable,10839694.109363584
2023-01-10,stable,48858125.18600933
2023-01-17,non_stable,13461215.990777424
2023-01-17,stable,47764958.95398954
2023-01-24,non_stable,15418611.94555772
2023-01-24,stable,52686516.84147804
2023-01-31,non_stable,16381224.744102461
2023-01-31,stable,58548883.53352843
2023-02-07,non_stable,17287598.130011942
2023-02-07,stable,71186542.12295334
2023-02-14,non_stable,16164917.207151148
2023-02-14,stable,78145713.49003072
2023-02-21,non_stable,19609236.604264453
2023-02-21,stable,83215089.68281989
